,coin,exchange
0,RPG,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
1,ISA,"['Trader Joe', 'Trader Joe', 'Trader Joe']"
2,QBU,"['Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v3)']"
3,DAI,"['Curve', 'Gatecoin', 'Uniswap (v2)', 'PancakeSwap', 'Bitfinex', 'FTX', 'PancakeSwap', 'Sushiswap', 'Uniswap (v2)', 'Gemini', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'SpookySwap', 'Uniswap (v3)', 'Balancer (v1)', 'Uniswap (v2)', 'SpiritSwap', 'Uniswap (v3)', 'PancakeSwap', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v3)', 'Balancer (v2)', 'Uniswap (v2)', 'Sushiswap', 'Apeswap', 'Uniswap (v3)', 'Sushiswap', 'CoinMate', 'Uniswap (v2)', 'Curve', 'Gatecoin', 'Curve', 'Gatecoin', 'Uniswap (v2)', 'PancakeSwap', 'Bitfinex', 'FTX', 'PancakeSwap', 'Sushiswap', 'Uniswap (v2)', 'Gemini', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'SpookySwap', 'Uniswap (v3)', 'Balancer (v1)', 'Uniswap (v2)', 'SpiritSwap', 'Uniswap (v3)', 'PancakeSwap', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v3)', 'Balancer (v2)', 'Uniswap (v2)', 'Sushiswap', 'Apeswap', 'Uniswap (v3)', 'Sushiswap', 'CoinMate', 'Uniswap (v2)', 'Balancer (v1)', 'Sushiswap', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v3)', 'Trader Joe', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'Apeswap', 'Uniswap (v2)', 'Kraken', 'Uniswap (v2)', 'Uniswap (v2)', 'HitBTC', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Balancer (v2)', 'Uniswap (v2)', 'Binance US', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)', 'Currency.com', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v3)', 'Sushiswap', 'Uniswap (v2)', 'Ethfinex', 'PancakeSwap', 'Sushiswap', 'CEX.IO', 'Uniswap (v2)', 'Uniswap (v2)', 'Apeswap', 'Sushiswap']"
4,SOKU,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
5,UOS,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
6,LUC,"['YoBit', 'YoBit', 'YoBit', 'YoBit', 'HitBTC']"
7,SWRV,"['Binance', 'Uniswap (v2)', 'Bibox', 'CoinEx', 'Uniswap (v2)', 'Binance', 'Uniswap (v2)', 'Binance', 'Uniswap (v2)', 'Bibox', 'CoinEx', 'Uniswap (v2)']"
8,ADA,"['Binance', 'HitBTC', 'PancakeSwap', 'CoinEx', 'Binance', 'PancakeSwap', 'CoinEx', 'Binance', 'Binance', 'HitBTC', 'PancakeSwap', 'CoinEx', 'Binance', 'PancakeSwap', 'CoinEx', 'BeQuant', 'Kraken', 'Kraken', 'PancakeSwap', 'Kraken', 'Apeswap', 'KuCoin', 'Huobi Global', 'PancakeSwap', 'CoinEx', 'Bitfinex', 'HitBTC', 'KuCoin', 'BtcTurk PRO']"
9,DSLA,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
